batting_team,bowling_team
Sunrisers Hyderabad,Royal Challengers Bangalore
Royal Challengers Bangalore,Sunrisers Hyderabad
Mumbai Indians,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians
Gujarat Lions,Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Lions
Rising Pune Supergiant,Kings XI Punjab
Kings XI Punjab,Rising Pune Supergiant
Royal Challengers Bangalore,Delhi Daredevils
Delhi Daredevils,Royal Challengers Bangalore
Gujarat Lions,Sunrisers Hyderabad
Sunrisers Hyderabad,Gujarat Lions
Kolkata Knight Riders,Mumbai Indians
Mumbai Indians,Kolkata Knight Riders
Royal Challengers Bangalore,Kings XI Punjab
Kings XI Punjab,Royal Challengers Bangalore
Delhi Daredevils,Rising Pune Supergiant
Rising Pune Supergiant,Delhi Daredevils
Sunrisers Hyderabad,Mumbai Indians
Mumbai Indians,Sunrisers Hyderabad
Kings XI Punjab,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab
Royal Challengers Bangalore,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore
Rising Pune Supergiant,Gujarat Lions
Gujarat Lions,Rising Pune Supergiant
Kolkata Knight Riders,Sunrisers Hyderabad
Sunrisers Hyderabad,Kolkata Knight Riders
Delhi Daredevils,Kings XI Punjab
Kings XI Punjab,Delhi Daredevils
Gujarat Lions,Mumbai Indians
Mumbai Indians,Gujarat Lions
Rising Pune Supergiant,Royal Challengers Bangalore
Royal Challengers Bangalore,Rising Pune Supergiant
Delhi Daredevils,Kolkata Knight Riders
Kolkata Knight Riders,Delhi Daredevils
Sunrisers Hyderabad,Kings XI Punjab
Kings XI Punjab,Sunrisers Hyderabad
Royal Challengers Bangalore,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore
Sunrisers Hyderabad,Delhi Daredevils
Delhi Daredevils,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians
Mumbai Indians,Kings XI Punjab
Mumbai Indians,Delhi Daredevils
Delhi Daredevils,Mumbai Indians
Sunrisers Hyderabad,Rising Pune Supergiant
Rising Pune Supergiant,Sunrisers Hyderabad
Kings XI Punjab,Gujarat Lions
Gujarat Lions,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders
Rising Pune Supergiant,Kolkata Knight Riders
Kolkata Knight Riders,Rising Pune Supergiant
Gujarat Lions,Delhi Daredevils
Delhi Daredevils,Gujarat Lions
Chennai Super Kings,Kings XI Punjab
Kings XI Punjab,Chennai Super Kings
Rajasthan Royals,Delhi Daredevils
Delhi Daredevils,Rajasthan Royals
Deccan Chargers,Kolkata Knight Riders
Kolkata Knight Riders,Deccan Chargers
Kings XI Punjab,Rajasthan Royals
Rajasthan Royals,Kings XI Punjab
Deccan Chargers,Delhi Daredevils
Delhi Daredevils,Deccan Chargers
Chennai Super Kings,Mumbai Indians
Mumbai Indians,Chennai Super Kings
Deccan Chargers,Rajasthan Royals
Rajasthan Royals,Deccan Chargers
Royal Challengers Bangalore,Rajasthan Royals
Rajasthan Royals,Royal Challengers Bangalore
Kolkata Knight Riders,Chennai Super Kings
Chennai Super Kings,Kolkata Knight Riders
Mumbai Indians,Deccan Chargers
Deccan Chargers,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings
Deccan Chargers,Kings XI Punjab
Kings XI Punjab,Deccan Chargers
Rajasthan Royals,Kolkata Knight Riders
Kolkata Knight Riders,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils
Delhi Daredevils,Chennai Super Kings
Deccan Chargers,Royal Challengers Bangalore
Royal Challengers Bangalore,Deccan Chargers
Chennai Super Kings,Rajasthan Royals
Rajasthan Royals,Chennai Super Kings
Chennai Super Kings,Deccan Chargers
Deccan Chargers,Chennai Super Kings
Rajasthan Royals,Mumbai Indians
Mumbai Indians,Rajasthan Royals
Kochi Tuskers Kerala,Royal Challengers Bangalore
Royal Challengers Bangalore,Kochi Tuskers Kerala
Kings XI Punjab,Pune Warriors
Pune Warriors,Kings XI Punjab
Kochi Tuskers Kerala,Pune Warriors
Pune Warriors,Kochi Tuskers Kerala
Mumbai Indians,Kochi Tuskers Kerala
Kochi Tuskers Kerala,Mumbai Indians
Pune Warriors,Delhi Daredevils
Delhi Daredevils,Pune Warriors
Chennai Super Kings,Kochi Tuskers Kerala
Kochi Tuskers Kerala,Chennai Super Kings
Pune Warriors,Mumbai Indians
Mumbai Indians,Pune Warriors
Kochi Tuskers Kerala,Kolkata Knight Riders
Kolkata Knight Riders,Kochi Tuskers Kerala
Kochi Tuskers Kerala,Rajasthan Royals
Rajasthan Royals,Kochi Tuskers Kerala
Chennai Super Kings,Pune Warriors
Pune Warriors,Chennai Super Kings
Deccan Chargers,Kochi Tuskers Kerala
Kochi Tuskers Kerala,Deccan Chargers
Royal Challengers Bangalore,Pune Warriors
Pune Warriors,Royal Challengers Bangalore
Delhi Daredevils,Kochi Tuskers Kerala
Kochi Tuskers Kerala,Delhi Daredevils
Pune Warriors,Rajasthan Royals
Rajasthan Royals,Pune Warriors
Deccan Chargers,Pune Warriors
Pune Warriors,Deccan Chargers
Kochi Tuskers Kerala,Kings XI Punjab
Kings XI Punjab,Kochi Tuskers Kerala
Pune Warriors,Kolkata Knight Riders
Kolkata Knight Riders,Pune Warriors
Sunrisers Hyderabad,Pune Warriors
Pune Warriors,Sunrisers Hyderabad
Sunrisers Hyderabad,Chennai Super Kings
Chennai Super Kings,Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals
Rajasthan Royals,Sunrisers Hyderabad
Mumbai Indians,Rising Pune Supergiants
Rising Pune Supergiants,Mumbai Indians
Rising Pune Supergiants,Gujarat Lions
Gujarat Lions,Rising Pune Supergiants
Rising Pune Supergiants,Kings XI Punjab
Kings XI Punjab,Rising Pune Supergiants
Royal Challengers Bangalore,Rising Pune Supergiants
Rising Pune Supergiants,Royal Challengers Bangalore
Rising Pune Supergiants,Kolkata Knight Riders
Kolkata Knight Riders,Rising Pune Supergiants
Sunrisers Hyderabad,Rising Pune Supergiants
Rising Pune Supergiants,Sunrisers Hyderabad
Delhi Daredevils,Rising Pune Supergiants
Rising Pune Supergiants,Delhi Daredevils
